開始時間,結束時間,天氣狀況,最高溫,最低溫,降雨機率,天氣描述
2026-06-01T12:00:00+08:00,2026-06-01T18:00:00+08:00,陰時多雲,29°C,28°C,20%,陰時多雲。降雨機率20%。溫度攝氏28至29度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度67%。
2026-06-01T18:00:00+08:00,2026-06-02T06:00:00+08:00,晴時多雲,28°C,25°C,20%,晴時多雲。降雨機率20%。溫度攝氏25至28度。舒適。西南風 風速2級(每秒2公尺)。相對濕度82%。
2026-06-02T06:00:00+08:00,2026-06-02T18:00:00+08:00,晴時多雲,34°C,25°C,10%,晴時多雲。降雨機率10%。溫度攝氏25至34度。舒適至悶熱。西南風 風速2級(每秒3公尺)。相對濕度60%。
2026-06-02T18:00:00+08:00,2026-06-03T06:00:00+08:00,晴時多雲,31°C,26°C,10%,晴時多雲。降雨機率10%。溫度攝氏26至31度。舒適至悶熱。西南風 風速2級(每秒2公尺)。相對濕度71%。
2026-06-03T06:00:00+08:00,2026-06-03T18:00:00+08:00,晴時多雲,35°C,26°C,20%,晴時多雲。降雨機率20%。溫度攝氏26至35度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度58%。
2026-06-03T18:00:00+08:00,2026-06-04T06:00:00+08:00,晴時多雲,32°C,27°C,10%,晴時多雲。降雨機率10%。溫度攝氏27至32度。舒適至悶熱。西南風 風速2級(每秒3公尺)。相對濕度74%。
2026-06-04T06:00:00+08:00,2026-06-04T18:00:00+08:00,多雲午後短暫雷陣雨,35°C,27°C,-,多雲午後短暫雷陣雨。溫度攝氏27至35度。舒適至悶熱。偏西風 風速4級(每秒6公尺)。相對濕度61%。
2026-06-04T18:00:00+08:00,2026-06-05T06:00:00+08:00,晴時多雲,32°C,27°C,-,晴時多雲。溫度攝氏27至32度。舒適至悶熱。西南風 風速2級(每秒3公尺)。相對濕度74%。
2026-06-05T06:00:00+08:00,2026-06-05T18:00:00+08:00,多雲短暫陣雨或雷雨,34°C,28°C,-,多雲短暫陣雨或雷雨。溫度攝氏28至34度。舒適至悶熱。偏西風 風速3級(每秒4公尺)。相對濕度65%。
2026-06-05T18:00:00+08:00,2026-06-06T06:00:00+08:00,多雲短暫陣雨或雷雨,31°C,27°C,-,多雲短暫陣雨或雷雨。溫度攝氏27至31度。舒適至悶熱。東北風 風速3級(每秒4公尺)。相對濕度77%。
2026-06-06T06:00:00+08:00,2026-06-06T18:00:00+08:00,多雲午後短暫雷陣雨,32°C,27°C,-,多雲午後短暫雷陣雨。溫度攝氏27至32度。舒適至易中暑。東北風 風速5級(每秒8公尺)。相對濕度82%。
2026-06-06T18:00:00+08:00,2026-06-07T06:00:00+08:00,多雲短暫陣雨,30°C,26°C,-,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。東北風 風速5級(每秒8公尺)。相對濕度78%。
2026-06-07T06:00:00+08:00,2026-06-07T18:00:00+08:00,晴午後短暫雷陣雨,33°C,26°C,-,晴午後短暫雷陣雨。溫度攝氏26至33度。舒適至悶熱。偏北風 風速4級(每秒6公尺)。相對濕度68%。
2026-06-07T18:00:00+08:00,2026-06-08T06:00:00+08:00,多雲短暫陣雨,30°C,26°C,-,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。東北風 風速3級(每秒5公尺)。相對濕度76%。
